Most common page simhash values.

zetaweb=# select count(*), simhash_value from site_info group by simhash_value order by count(*) desc limit 500;
  count  |                                                          simhash_value                                                           
    7565 | 10110000001000100001001010001001111011100000000101000101101010010100100111001100000001111001000010010110110011001111101011111000
    7478 | 01010111101000111000011010000101000000101111010110110110000100111101001111000100010011101010110010111011110111110100111001111010
    7468 | 10011010100011100101110111100110101001100011100100001011011111111100101100010100011000101011111110011001010110110001011000010111
    7244 | 01011100110010110011110111100110010001111101001010111001011110110010011100010001100010100011101000101110011110101000001100011010
    7222 | 11111001010100111101000001100110101111011010101010101101001001011010001011011111100101100111110111010100001000101011110100101101
    6749 | 11010000100100101000010001000110000000110011011000010101101010110000011000000000110010000000001000111110100011101001001001101011
    6732 | 10101011110000101101001000000110100101111110001010000101101001011010001010010101100101101011110110011010000000101000111100000100
    6723 | 11000000111010000000000010000010010000000000100101000100100111000000000001100001000000000100001011100100110010000100110100011100
    6676 | 10011011111011011000011111100111011011110000001111100011001100110010001011011100011001101011110011010111110010100000111001111001
    6619 | 01010011110001110000011011100010000000111011110100101110011110001100101101011101010011101111110110011000010011110001001001110100
    6456 | 00110001100010000000111010000000011000100001010010010100010000010000011000001011111101001011000000110000000100100100010000010011
    6414 | 11100111100111011001110010000111011000100001010111011010011110010000111101010010010101110011101011110101000100010010011111001000
    6340 | 11011101100100111100100001000111000110110100101000111000101110111001110000011100111000000010010011110001001111100100110001110110
    6325 | 01010011110001110000011011100010000000111011110100101110011110001100101101011101010011101111110110011000011011110001001001110100
    6227 | 11011010000001010001101001101110000000100011100100001110010101001101101100010101111111111001010000100000101100100000011000000010
    6177 | 00010010011000000000110110000000000000010000011011010110101011010010001000001110010010100100111111110000010111011101011001110001
    5960 | 10010011111100001111110010100000000001010100001101000101101110000010101100000001000100001110100011110111101111000000101001111010
    5948 | 01011011110001110000011001100010000000111011100100101110011110001100101101011101010001101111010110011000001011110001001011110110
    5854 | 00010001110000000100110010000111001111101000101110010111000101011001101111000110011011001001100000011000101101110000111000000011
    5756 | 00011110111001110110110111110011100101010110110111001111111011001000101000000000010011100011000001111111100011001000011101010001
    5708 | 10111010000010100011100001111011011111110110010010010011010010011000011110011101011000000111000000100000010001011101011001101000
    5622 | 00111010110100001010111101100001001100110000101110010110100001110000111001010010011001111011001000100010001011100100101001011000
    5555 | 11011010100001110101101011100110000000000000100111001010000101001101101100000100011011010001011011100000100110000000111001000100
    5539 | 10110101010101000001110000000100101100101000010111000011000101010000001010001101010111111100001001001010101101010000100001000001
    5459 | 00001110101101000000011111101000000001011000010110111000010010101011111010001100010000011111111110111001100100001101011000100000
    5441 | 01100010110110100101101111001010110001101000001110111011101100011000001110000100000100100001101010110101000011100001011001100010
    5439 | 00011110101001100110111001100011101100110011011101001011100110001100011001000110011001000010010100010011010101110010111011110101
    5345 | 10011110011101001001111110111010101000000000001100010101101110111011101100010000010000110111010111001101110111111101100101101101
    5189 | 10010101001011101010100101011011001001001001001110011000001110111100100101100001011000100001101001101010011111110010110001010100
    5034 | 10111000111111000000001111100100011001110000000110100010000111110010001001001100010001001011110011010000110010111000111010011000
    5014 | 11001100010100000011010000010111110100110001001010010101000110010000011101000011110010011000111011111000010011011101010001111011
    4979 | 10001100101111001001000000101000010000101000001000101000101011010101010110000100001101001100110110111011010011010011010010010011
    4886 | 10010000010001000001010010101010100110100011111100011110010011001001101010000100000010011001100000010100100100111001011000010101
    4698 | 10110101100000010000110000000010011000100011010010110010110110111001011000001110111000000011110000110000000111100000101001100010
    4525 | 11110001110000011001101101101111000000101000010011000010110011110010001100010100100111111100101010101111110110111000000100101001
    4446 | 11000011101101110010111110100101011000100101001111000111110001100000011110010000100001011001011011010001010101100010001110001010
    4426 | 00111000110000010011110011000101010111100000101100110111000101011010011101110001001001001111100010001000101011110001110000111000
    4251 | 11111001011000101101011000010101100111100010001100010011101010111110101011000110000011011001000000000110001110010000100001110110
    4233 | 11001110110000001110010011000101110111110011010000110011111111111010101110111101110000000001110110000011001010100001101000000001
    4145 | 10011001111101011100010110000111001111000010101010111111000001001001101111010111011010001001100000010101101101110100011011001011
    4128 | 10110010111101000001010101100100001001110000001001010110100010011000101101010000011011001011100010110110011011101101011101111000
    4124 | 00111001110000011000000000000000010010001100101111000111101001110010101111000001101001111001010000100110001110100001100010010100
    4000 | 11011010000000011000110010000010101000111111000000010111001010010001111000000000110010000100101010100001001011011101010001001001
    3985 | 11001110001101011011000000001011111101110100000111111010101101001101111011111011010100110011010000001110101010111100101010001000
    3963 | 00111101100000111101011001110010111110110010111011010011110000111010001011001110100000110100010000000010001110000000110011110001
    3894 | 00011000111100000001110001111001011001111100001011111011001100011100011101010101100011000010000000110100000011001011001101011000
    3793 | 01000100101100111011110101100001111001110000010011111100000111001110000100101011010010110010011000010011110001011111110010110101
    3757 | 01001011100010110000011010010001101111111111100000101010010001001001010100100101001001110001001010101111100100111010100000010110
    3740 | 00010000010110100011000010001001110000111110001100100100100110010110110000000111110101110000110010010011010010010010001111110110
    3727 | 11000101110010101101010100110111011111100100011101101010000001110000000011011101010101111001010010110011011001100100100011101100
    3643 | 01000110111000100000010011110000000000110010110101100101000111001100101101010101010011001011100100111011100011110010101011101010
    3633 | 01101010010010100010101101000001011010111000100000110000000010100000001111010010011011011011011010110010110000010100111101111000
    3603 | 00001100001001000001010100101011100001010010001101111100010001011110111011000101001010111001110001000010100000000001010011110000
    3563 | 01010111101000111000011010000101010000101111010110110110000110111101001111010100010011001010110000111011110111110100111001111010
    3562 | 10110000110000101101111000110011000010100010110110000010111001011110001011110100111001111001000010101000001110000000100000111101
    3531 | 10100110111000010001001101001101001011111010011010011101100111110000101001010010011001001011101010101111011011101001001111111001
    3523 | 01101011101011010110101101101100111110110111010110110010001111101110110100111001110111110100101000111110010110001010101000100100
    3523 | 00101010110101000010111000000000100000111000000101110111101100011001110010000101001010010010110010100101001111100101001111111000
    3488 | 10100000101000100010001100010101100001000100000010011001000010001110001100000010010000001110110010010110101001001011110001101100
    3475 | 01011011110011010000011001100010000000111011100000101110111110001100101101011101010011101111110110011000001011110001001001110000
    3461 | 11010001010011110011110111010010011001100000010100011000011011011001100101001001001111001011110010011111100100000100010010011011
    3453 | 01110011111000011100010001001111101110011101110110010001000010110100101100001010000100010100000000101100000110001010110111000101
